分类: 央视频道🇨🇳, 名称: CCTV1, 有效: 40, IPv4: 266, IPv6: 0, 最小延迟: 9 ms, 最高速率: 224.83 M/s, 平均速率: 16.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV2, 有效: 40, IPv4: 219, IPv6: 0, 最小延迟: 9 ms, 最高速率: 190.63 M/s, 平均速率: 17.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.06, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV3, 有效: 40, IPv4: 217, IPv6: 0, 最小延迟: 10 ms, 最高速率: 26.55 M/s, 平均速率: 7.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV4, 有效: 40, IPv4: 317, IPv6: 0, 最小延迟: 9 ms, 最高速率: 207.40 M/s, 平均速率: 19.31 M/s, 最高分辨率: 3840x2160, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV5, 有效: 40, IPv4: 237, IPv6: 0, 最小延迟: 12 ms, 最高速率: 61.09 M/s, 平均速率: 10.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV5+, 有效: 24, IPv4: 175, IPv6: 0, 最小延迟: 10 ms, 最高速率: 74.65 M/s, 平均速率: 12.30 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.31, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV6, 有效: 40, IPv4: 214, IPv6: 0, 最小延迟: 11 ms, 最高速率: 239.01 M/s, 平均速率: 20.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV7, 有效: 40, IPv4: 219, IPv6: 0, 最小延迟: 9 ms, 最高速率: 263.71 M/s, 平均速率: 21.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV8, 有效: 40, IPv4: 218, IPv6: 0, 最小延迟: 7 ms, 最高速率: 257.34 M/s, 平均速率: 19.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.94, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV9, 有效: 40, IPv4: 218, IPv6: 0, 最小延迟: 9 ms, 最高速率: 287.76 M/s, 平均速率: 22.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.86, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV10, 有效: 40, IPv4: 217, IPv6: 0, 最小延迟: 10 ms, 最高速率: 207.92 M/s, 平均速率: 19.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV11, 有效: 40, IPv4: 206, IPv6: 0, 最小延迟: 10 ms, 最高速率: 206.11 M/s, 平均速率: 19.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV12, 有效: 40, IPv4: 214, IPv6: 0, 最小延迟: 11 ms, 最高速率: 226.99 M/s, 平均速率: 20.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.86, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV13, 有效: 40, IPv4: 213, IPv6: 0, 最小延迟: 10 ms, 最高速率: 220.00 M/s, 平均速率: 20.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV14, 有效: 40, IPv4: 214, IPv6: 0, 最小延迟: 8 ms, 最高速率: 216.39 M/s, 平均速率: 15.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 45.87, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV15, 有效: 40, IPv4: 213, IPv6: 0, 最小延迟: 9 ms, 最高速率: 271.89 M/s, 平均速率: 20.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.52, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV16, 有效: 40, IPv4: 138, IPv6: 0, 最小延迟: 9 ms, 最高速率: 261.79 M/s, 平均速率: 25.41 M/s, 最高分辨率: 3840x2160, 平均帧率: 28.06, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV17, 有效: 40, IPv4: 197, IPv6: 0, 最小延迟: 8 ms, 最高速率: 297.35 M/s, 平均速率: 24.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV4K, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 858 ms, 最高速率: 5.13 M/s, 平均速率: 5.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV兵器科技, 有效: 9, IPv4: 19, IPv6: 0, 最小延迟: 721 ms, 最高速率: 6.53 M/s, 平均速率: 3.22 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV第一剧场, 有效: 8, IPv4: 18, IPv6: 0, 最小延迟: 751 ms, 最高速率: 5.23 M/s, 平均速率: 2.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 央视频道🇨🇳, 名称: CCTV发现之旅, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 1101 ms, 最高速率: 0.53 M/s, 平均速率: 0.53 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV风云剧场, 有效: 10, IPv4: 19, IPv6: 0, 最小延迟: 703 ms, 最高速率: 4.83 M/s, 平均速率: 3.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV风云音乐, 有效: 13, IPv4: 37, IPv6: 0, 最小延迟: 54 ms, 最高速率: 13.26 M/s, 平均速率: 4.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV风云足球, 有效: 10, IPv4: 31, IPv6: 0, 最小延迟: 638 ms, 最高速率: 14.61 M/s, 平均速率: 4.27 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV央视台球, 有效: 10, IPv4: 22, IPv6: 0, 最小延迟: 9 ms, 最高速率: 59.63 M/s, 平均速率: 10.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV高尔夫网球, 有效: 12, IPv4: 18, IPv6: 0, 最小延迟: 19 ms, 最高速率: 25.95 M/s, 平均速率: 5.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
