分类: 央视频道🇨🇳, 名称: CCTV1, 有效: 22, IPv4: 221, IPv6: 0, 最小延迟: 65 ms, 最高速率: 73.17 M/s, 平均速率: 9.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.47, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV2, 有效: 22, IPv4: 175, IPv6: 0, 最小延迟: 59 ms, 最高速率: 89.53 M/s, 平均速率: 8.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.20, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV3, 有效: 27, IPv4: 171, IPv6: 0, 最小延迟: 61 ms, 最高速率: 68.21 M/s, 平均速率: 8.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV4, 有效: 28, IPv4: 291, IPv6: 0, 最小延迟: 12 ms, 最高速率: 69.06 M/s, 平均速率: 4.21 M/s, 最高分辨率: 3840x2160, 平均帧率: 32.67, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV5, 有效: 27, IPv4: 196, IPv6: 0, 最小延迟: 55 ms, 最高速率: 92.96 M/s, 平均速率: 12.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.40, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV5+, 有效: 7, IPv4: 157, IPv6: 0, 最小延迟: 62 ms, 最高速率: 82.00 M/s, 平均速率: 38.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV6, 有效: 27, IPv4: 178, IPv6: 0, 最小延迟: 62 ms, 最高速率: 76.62 M/s, 平均速率: 8.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.73, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV7, 有效: 24, IPv4: 180, IPv6: 0, 最小延迟: 53 ms, 最高速率: 99.95 M/s, 平均速率: 8.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 央视频道🇨🇳, 名称: CCTV8, 有效: 26, IPv4: 176, IPv6: 0, 最小延迟: 13 ms, 最高速率: 88.45 M/s, 平均速率: 12.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.48, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV9, 有效: 28, IPv4: 181, IPv6: 0, 最小延迟: 25 ms, 最高速率: 87.08 M/s, 平均速率: 9.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.20, 视频编解码器: h264, 音频编解码器: aac
分类: 央视频道🇨🇳, 名称: CCTV10, 有效: 25, IPv4: 179, IPv6: 0, 最小延迟: 14 ms, 最高速率: 83.46 M/s, 平均速率: 11.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
